iteration,camera1_pose,camera3_pose
115,"[0.243712, 0.044938, 0.342011, 3.104400, 0.005795, 3.118750]","[0.143084, 0.185487, 0.504975, -0.425024, -0.369529, 1.908157]"
116,"[0.243712, 0.044938, 0.342011, 3.104400, 0.005795, 3.118750]","[0.143064, 0.185418, 0.504896, -0.424505, -0.368522, 1.907333]"
117,"[0.243739, 0.044952, 0.342065, 3.104419, 0.006182, 3.118386]","[0.143064, 0.185418, 0.504896, -0.424505, -0.368522, 1.907333]"
118,"[0.243739, 0.044952, 0.342065, 3.104419, 0.006182, 3.118386]","[0.143064, 0.185418, 0.504896, -0.424505, -0.368522, 1.907333]"
119,"[0.243739, 0.044952, 0.342065, 3.104419, 0.006182, 3.118386]","[0.143094, 0.185489, 0.505034, -0.425220, -0.369125, 1.908019]"
120,"[0.243601, 0.044939, 0.341903, 3.104175, 0.006707, 3.118847]","[0.143094, 0.185489, 0.505034, -0.425220, -0.369125, 1.908019]"
121,"[0.243601, 0.044939, 0.341903, 3.104175, 0.006707, 3.118847]","[0.143094, 0.185489, 0.505034, -0.425220, -0.369125, 1.908019]"
122,"[0.243601, 0.044939, 0.341903, 3.104175, 0.006707, 3.118847]","[0.143074, 0.185411, 0.504853, -0.425091, -0.368682, 1.907585]"
123,"[0.243685, 0.044932, 0.341979, 3.104487, 0.006263, 3.118761]","[0.143074, 0.185411, 0.504853, -0.425091, -0.368682, 1.907585]"
124,"[0.243685, 0.044932, 0.341979, 3.104487, 0.006263, 3.118761]","[0.143043, 0.185403, 0.504803, -0.425525, -0.370339, 1.907376]"
125,"[0.243489, 0.044914, 0.341743, 3.104373, 0.007706, 3.119236]","[0.143043, 0.185403, 0.504803, -0.425525, -0.370339, 1.907376]"
126,"[0.243489, 0.044914, 0.341743, 3.104373, 0.007706, 3.119236]","[0.143043, 0.185403, 0.504803, -0.425525, -0.370339, 1.907376]"
127,"[0.243489, 0.044914, 0.341743, 3.104373, 0.007706, 3.119236]","[0.143134, 0.185527, 0.505076, -0.424629, -0.368163, 1.907993]"
128,"[0.243622, 0.044914, 0.341906, 3.104471, 0.006234, 3.118827]","[0.143134, 0.185527, 0.505076, -0.424629, -0.368163, 1.907993]"
129,"[0.243622, 0.044914, 0.341906, 3.104471, 0.006234, 3.118827]","[0.143134, 0.185527, 0.505076, -0.424629, -0.368163, 1.907993]"
130,"[0.243622, 0.044914, 0.341906, 3.104471, 0.006234, 3.118827]","[0.143187, 0.185542, 0.505166, -0.424799, -0.369665, 1.908551]"
131,"[0.243628, 0.044932, 0.341932, 3.104387, 0.006084, 3.119275]","[0.143187, 0.185542, 0.505166, -0.424799, -0.369665, 1.908551]"
132,"[0.243628, 0.044932, 0.341932, 3.104387, 0.006084, 3.119275]","[0.143128, 0.185512, 0.505071, -0.423734, -0.368489, 1.908421]"
133,"[0.243676, 0.044932, 0.341979, 3.104639, 0.006350, 3.119184]","[0.143128, 0.185512, 0.505071, -0.423734, -0.368489, 1.908421]"
134,"[0.243676, 0.044932, 0.341979, 3.104639, 0.006350, 3.119184]","[0.143128, 0.185512, 0.505071, -0.423734, -0.368489, 1.908421]"
135,"[0.243676, 0.044932, 0.341979, 3.104639, 0.006350, 3.119184]","[0.143132, 0.185471, 0.505072, -0.424504, -0.369236, 1.908607]"
136,"[0.243643, 0.044946, 0.341935, 3.104315, 0.006636, 3.118673]","[0.143132, 0.185471, 0.505072, -0.424504, -0.369236, 1.908607]"
137,"[0.243643, 0.044946, 0.341935, 3.104315, 0.006636, 3.118673]","[0.143132, 0.185471, 0.505072, -0.424504, -0.369236, 1.908607]"
138,"[0.243643, 0.044946, 0.341935, 3.104315, 0.006636, 3.118673]","[0.143086, 0.185512, 0.505078, -0.424349, -0.369573, 1.908823]"
139,"[0.243650, 0.044935, 0.341928, 3.104282, 0.006255, 3.118481]","[0.143086, 0.185512, 0.505078, -0.424349, -0.369573, 1.908823]"
140,"[0.243650, 0.044935, 0.341928, 3.104282, 0.006255, 3.118481]","[0.143086, 0.185512, 0.505078, -0.424349, -0.369573, 1.908823]"
141,"[0.243650, 0.044935, 0.341928, 3.104282, 0.006255, 3.118481]","[0.143098, 0.185477, 0.504986, -0.425206, -0.368874, 1.907461]"
142,"[0.243667, 0.044919, 0.341941, 3.104472, 0.006289, 3.118691]","[0.143098, 0.185477, 0.504986, -0.425206, -0.368874, 1.907461]"
143,"[0.243667, 0.044919, 0.341941, 3.104472, 0.006289, 3.118691]","[0.143098, 0.185477, 0.504986, -0.425206, -0.368874, 1.907461]"
144,"[0.243667, 0.044919, 0.341941, 3.104472, 0.006289, 3.118691]","[0.143077, 0.185467, 0.504952, -0.424646, -0.369002, 1.908180]"
